"Name","kl_penalty.coeff","reference.update_every_n_steps","reference.protocol.weightage.self_preference","winrate"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE7-tifu-6/6-['tifu']","0.3","7","0.2","0.5078125"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE7-personalfinance-4/6-['personalfinance']","0.3","7","0.2","0.5859375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE7-loseit-0/6-['loseit']","0.3","7","0.2","0.609375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE7-legaladvice-2/6-['legaladvice']","0.3","7","0.2","0.625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE7-dating_advice-1/6-['dating_advice']","0.3","7","0.2","0.59375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE7-relationship_advice-5/6-['relationship_advice']","0.3","7","0.2","0.4609375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE7-offmychest-3/6-['offmychest']","0.3","7","0.2","0.234375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE3-personalfinance-4/6-['personalfinance']","0.3","3","0.2","0.625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE3-offmychest-3/6-['offmychest']","0.3","3","0.2","0.203125"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE3-dating_advice-1/6-['dating_advice']","0.3","3","0.2","0.6328125"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE3-loseit-0/6-['loseit']","0.3","3","0.2","0.65625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE3-relationship_advice-5/6-['relationship_advice']","0.3","3","0.2","0.3828125"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE3-tifu-6/6-['tifu']","0.3","3","0.2","0.4140625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE3-legaladvice-2/6-['legaladvice']","0.3","3","0.2","0.5390625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE1-personalfinance-4/6-['personalfinance']","0.3","1","0.2","0.6328125"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE1-relationship_advice-5/6-['relationship_advice']","0.3","1","0.2","0.6484375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE1-tifu-6/6-['tifu']","0.3","1","0.2","0.4921875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE1-offmychest-3/6-['offmychest']","0.3","1","0.2","0.1875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE1-dating_advice-1/6-['dating_advice']","0.3","1","0.2","0.609375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE1-legaladvice-2/6-['legaladvice']","0.3","1","0.2","0.6171875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.2-UE1-loseit-0/6-['loseit']","0.3","1","0.2","0.6328125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE7-offmychest-3/6-['offmychest']","0.1","7","0.2","0.234375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE7-personalfinance-4/6-['personalfinance']","0.1","7","0.2","0.6484375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE7-dating_advice-1/6-['dating_advice']","0.1","7","0.2","0.671875"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE7-loseit-0/6-['loseit']","0.1","7","0.2","0.765625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE7-relationship_advice-5/6-['relationship_advice']","0.1","7","0.2","0.703125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE7-tifu-6/6-['tifu']","0.1","7","0.2","0.7421875"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE7-legaladvice-2/6-['legaladvice']","0.1","7","0.2","0.6953125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE1-loseit-0/6-['loseit']","0.1","1","0.2","0.5234375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE1-personalfinance-4/6-['personalfinance']","0.1","1","0.2","0.7265625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE1-tifu-6/6-['tifu']","0.1","1","0.2","0.6015625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE1-dating_advice-1/6-['dating_advice']","0.1","1","0.2","0.75"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE1-legaladvice-2/6-['legaladvice']","0.1","1","0.2","0.6953125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE1-offmychest-3/6-['offmychest']","0.1","1","0.2","0.2734375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE1-relationship_advice-5/6-['relationship_advice']","0.1","1","0.2","0.734375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE7-relationship_advice-5/6-['relationship_advice']","0.1","7","0.6","0.34375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE7-offmychest-3/6-['offmychest']","0.1","7","0.6","0.234375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE7-tifu-6/6-['tifu']","0.1","7","0.6","0.3359375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE7-loseit-0/6-['loseit']","0.1","7","0.6","0.7734375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE7-dating_advice-1/6-['dating_advice']","0.1","7","0.6","0.6796875"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE7-personalfinance-4/6-['personalfinance']","0.1","7","0.6","0.3984375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE7-legaladvice-2/6-['legaladvice']","0.1","7","0.6","0.6640625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE3-offmychest-3/6-['offmychest']","0.1","3","0.2","0.25"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE3-relationship_advice-5/6-['relationship_advice']","0.1","3","0.2","0.7109375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE3-legaladvice-2/6-['legaladvice']","0.1","3","0.2","0.6171875"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE3-loseit-0/6-['loseit']","0.1","3","0.2","0.765625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE3-personalfinance-4/6-['personalfinance']","0.1","3","0.2","0.6875"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE3-dating_advice-1/6-['dating_advice']","0.1","3","0.2","0.46875"
"Mistral-7B-Base-GPPO-KL0.1-SP0.2-UE3-tifu-6/6-['tifu']","0.1","3","0.2","0.6015625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-offmychest-3/6-['offmychest']","0.03","7","0.2","0.203125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-loseit-0/6-['loseit']","0.03","7","0.2","0.3046875"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-relationship_advice-5/6-['relationship_advice']","0.03","7","0.2","0.640625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-tifu-6/6-['tifu']","0.03","7","0.2","0.6484375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-dating_advice-1/6-['dating_advice']","0.03","7","0.2","0.5703125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-personalfinance-4/6-['personalfinance']","0.03","7","0.2","0.671875"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE7-legaladvice-2/6-['legaladvice']","0.03","7","0.2","0.65625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE1-personalfinance-4/6-['personalfinance']","0.03","1","0.2","0.7265625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE1-tifu-6/6-['tifu']","0.03","1","0.2","0.25"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE1-relationship_advice-5/6-['relationship_advice']","0.03","1","0.2","0.8203125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE1-offmychest-3/6-['offmychest']","0.03","1","0.2","0.25"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE1-dating_advice-1/6-['dating_advice']","0.03","1","0.2","0.7109375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE1-legaladvice-2/6-['legaladvice']","0.03","1","0.2","0.6953125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE1-loseit-0/6-['loseit']","0.03","1","0.2","0.8125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE3-relationship_advice-5/6-['relationship_advice']","0.03","3","0.2","0.703125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE3-personalfinance-4/6-['personalfinance']","0.03","3","0.2","0.640625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE3-dating_advice-1/6-['dating_advice']","0.03","3","0.2","0.7109375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE3-offmychest-3/6-['offmychest']","0.03","3","0.2","0.2421875"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE3-legaladvice-2/6-['legaladvice']","0.03","3","0.2","0.7109375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE3-loseit-0/6-['loseit']","0.03","3","0.2","0.5"
"Mistral-7B-Base-GPPO-KL0.03-SP0.2-UE3-tifu-6/6-['tifu']","0.03","3","0.2","0.625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE7-relationship_advice-5/6-['relationship_advice']","0.3","7","0.6","0.765625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE7-tifu-6/6-['tifu']","0.3","7","0.6","0.578125"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE7-loseit-0/6-['loseit']","0.3","7","0.6","0.6953125"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE7-dating_advice-1/6-['dating_advice']","0.3","7","0.6","0.5703125"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE7-offmychest-3/6-['offmychest']","0.3","7","0.6","0.1875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE7-legaladvice-2/6-['legaladvice']","0.3","7","0.6","0.7265625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE7-personalfinance-4/6-['personalfinance']","0.3","7","0.6","0.671875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE3-tifu-6/6-['tifu']","0.3","3","0.6","0.2109375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE3-legaladvice-2/6-['legaladvice']","0.3","3","0.6","0.640625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE3-personalfinance-4/6-['personalfinance']","0.3","3","0.6","0.671875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE3-relationship_advice-5/6-['relationship_advice']","0.3","3","0.6","0.6484375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE3-dating_advice-1/6-['dating_advice']","0.3","3","0.6","0.640625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE3-offmychest-3/6-['offmychest']","0.3","3","0.6","0.234375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE3-loseit-0/6-['loseit']","0.3","3","0.6","0.7421875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE1-dating_advice-1/6-['dating_advice']","0.3","1","0.6","0.6796875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE1-legaladvice-2/6-['legaladvice']","0.3","1","0.6","0.578125"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE1-tifu-6/6-['tifu']","0.3","1","0.6","0.3359375"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE1-loseit-0/6-['loseit']","0.3","1","0.6","0.390625"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE1-relationship_advice-5/6-['relationship_advice']","0.3","1","0.6","0.6875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE1-personalfinance-4/6-['personalfinance']","0.3","1","0.6","0.6875"
"Mistral-7B-Base-GPPO-KL0.3-SP0.6-UE1-offmychest-3/6-['offmychest']","0.3","1","0.6","0.1875"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE3-legaladvice-2/6-['legaladvice']","0.1","3","0.6","0.390625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE3-dating_advice-1/6-['dating_advice']","0.1","3","0.6","0.734375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE3-offmychest-3/6-['offmychest']","0.1","3","0.6","0.265625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE3-loseit-0/6-['loseit']","0.1","3","0.6","0.765625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE3-personalfinance-4/6-['personalfinance']","0.1","3","0.6","0.578125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE3-relationship_advice-5/6-['relationship_advice']","0.1","3","0.6","0.328125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE3-tifu-6/6-['tifu']","0.1","3","0.6","0.640625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-dating_advice-1/6-['dating_advice']","0.1","1","0.6","0.7421875"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-relationship_advice-5/6-['relationship_advice']","0.1","1","0.6","0.1640625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-personalfinance-4/6-['personalfinance']","0.1","1","0.6","0.703125"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-offmychest-3/6-['offmychest']","0.1","1","0.6","0.25"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-loseit-0/6-['loseit']","0.1","1","0.6","0.390625"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-tifu-6/6-['tifu']","0.1","1","0.6","0.6484375"
"Mistral-7B-Base-GPPO-KL0.1-SP0.6-UE1-legaladvice-2/6-['legaladvice']","0.1","1","0.6","0.2109375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE7-legaladvice-2/6-['legaladvice']","0.03","7","0.6","0.65625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE7-personalfinance-4/6-['personalfinance']","0.03","7","0.6","0.7734375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE7-loseit-0/6-['loseit']","0.03","7","0.6","0.5234375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE7-tifu-6/6-['tifu']","0.03","7","0.6","0.5859375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE7-dating_advice-1/6-['dating_advice']","0.03","7","0.6","0.53125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE7-offmychest-3/6-['offmychest']","0.03","7","0.6","0.2578125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE7-relationship_advice-5/6-['relationship_advice']","0.03","7","0.6","0.1953125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE3-loseit-0/6-['loseit']","0.03","3","0.6","0.484375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE3-tifu-6/6-['tifu']","0.03","3","0.6","0.6328125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE3-personalfinance-4/6-['personalfinance']","0.03","3","0.6","0.6640625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE3-relationship_advice-5/6-['relationship_advice']","0.03","3","0.6","0.7265625"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE3-legaladvice-2/6-['legaladvice']","0.03","3","0.6","0.71875"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE3-dating_advice-1/6-['dating_advice']","0.03","3","0.6","0.5234375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE3-offmychest-3/6-['offmychest']","0.03","3","0.6","0.2578125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE1-tifu-6/6-['tifu']","0.03","1","0.6","0.59375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE1-offmychest-3/6-['offmychest']","0.03","1","0.6","0.28125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE1-dating_advice-1/6-['dating_advice']","0.03","1","0.6","0.3984375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE1-personalfinance-4/6-['personalfinance']","0.03","1","0.6","0.703125"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE1-loseit-0/6-['loseit']","0.03","1","0.6","0.4375"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE1-relationship_advice-5/6-['relationship_advice']","0.03","1","0.6","0.75"
"Mistral-7B-Base-GPPO-KL0.03-SP0.6-UE1-legaladvice-2/6-['legaladvice']","0.03","1","0.6","0.65625"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE3-tifu-6/6-['tifu']","0.3","3","1","0.28125"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE3-offmychest-3/6-['offmychest']","0.3","3","1","0.21875"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE3-dating_advice-1/6-['dating_advice']","0.3","3","1","0.078125"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE3-personalfinance-4/6-['personalfinance']","0.3","3","1","0.8046875"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE3-relationship_advice-5/6-['relationship_advice']","0.3","3","1","0.7109375"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE3-loseit-0/6-['loseit']","0.3","3","1","0.3515625"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE3-legaladvice-2/6-['legaladvice']","0.3","3","1","0.25"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE7-personalfinance-4/6-['personalfinance']","0.3","7","1","0.2578125"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE7-dating_advice-1/6-['dating_advice']","0.3","7","1","0.171875"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE7-offmychest-3/6-['offmychest']","0.3","7","1","0.203125"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE7-relationship_advice-5/6-['relationship_advice']","0.3","7","1","0.703125"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE7-loseit-0/6-['loseit']","0.3","7","1","0.7578125"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE7-legaladvice-2/6-['legaladvice']","0.3","7","1","0.0546875"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE7-tifu-6/6-['tifu']","0.3","7","1","0.2265625"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE1-tifu-6/6-['tifu']","0.3","1","1","0.6640625"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE1-personalfinance-4/6-['personalfinance']","0.3","1","1","0.578125"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE1-loseit-0/6-['loseit']","0.3","1","1","0.34375"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE1-relationship_advice-5/6-['relationship_advice']","0.3","1","1","0.4609375"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE1-dating_advice-1/6-['dating_advice']","0.3","1","1","0.703125"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE1-legaladvice-2/6-['legaladvice']","0.3","1","1","0.4140625"
"Mistral-7B-Base-GPPO-KL0.3-SP1.0-UE1-offmychest-3/6-['offmychest']","0.3","1","1","0.2265625"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE7-tifu-6/6-['tifu']","0.1","7","1","0.671875"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE7-personalfinance-4/6-['personalfinance']","0.1","7","1","0.7109375"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE7-dating_advice-1/6-['dating_advice']","0.1","7","1","0.53125"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE7-offmychest-3/6-['offmychest']","0.1","7","1","0.234375"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE7-legaladvice-2/6-['legaladvice']","0.1","7","1","0.546875"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE7-loseit-0/6-['loseit']","0.1","7","1","0.796875"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE7-relationship_advice-5/6-['relationship_advice']","0.1","7","1","0.7421875"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE3-legaladvice-2/6-['legaladvice']","0.1","3","1","0.4765625"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE3-personalfinance-4/6-['personalfinance']","0.1","3","1","0.6796875"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE3-tifu-6/6-['tifu']","0.1","3","1","0.3203125"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE3-offmychest-3/6-['offmychest']","0.1","3","1","0.25"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE3-dating_advice-1/6-['dating_advice']","0.1","3","1","0"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE3-relationship_advice-5/6-['relationship_advice']","0.1","3","1","0.671875"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE3-loseit-0/6-['loseit']","0.1","3","1","0.7578125"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE1-loseit-0/6-['loseit']","0.1","1","1","0.390625"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE1-personalfinance-4/6-['personalfinance']","0.1","1","1","0.640625"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE1-dating_advice-1/6-['dating_advice']","0.1","1","1","0.4609375"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE1-offmychest-3/6-['offmychest']","0.1","1","1","0.265625"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE1-legaladvice-2/6-['legaladvice']","0.1","1","1","0.546875"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE1-relationship_advice-5/6-['relationship_advice']","0.1","1","1","0.6015625"
"Mistral-7B-Base-GPPO-KL0.1-SP1.0-UE1-tifu-6/6-['tifu']","0.1","1","1","0.5234375"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE7-offmychest-3/6-['offmychest']","0.03","7","1","0.2421875"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE7-legaladvice-2/6-['legaladvice']","0.03","7","1","0.2421875"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE7-dating_advice-1/6-['dating_advice']","0.03","7","1","0.2734375"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE7-personalfinance-4/6-['personalfinance']","0.03","7","1","0.5546875"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE7-tifu-6/6-['tifu']","0.03","7","1","0.015625"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE7-relationship_advice-5/6-['relationship_advice']","0.03","7","1","0.625"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE7-loseit-0/6-['loseit']","0.03","7","1","0.6875"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE3-tifu-6/6-['tifu']","0.03","3","1","0.2421875"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE3-loseit-0/6-['loseit']","0.03","3","1","0.5"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE3-legaladvice-2/6-['legaladvice']","0.03","3","1","0.5703125"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE3-dating_advice-1/6-['dating_advice']","0.03","3","1","0.1484375"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE3-offmychest-3/6-['offmychest']","0.03","3","1","0.2890625"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE3-personalfinance-4/6-['personalfinance']","0.03","3","1","0.703125"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE3-relationship_advice-5/6-['relationship_advice']","0.03","3","1","0.6796875"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-personalfinance-4/6-['personalfinance']","0.03","1","1","0.765625"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-loseit-0/6-['loseit']","0.03","1","1","0.390625"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-offmychest-3/6-['offmychest']","0.03","1","1","0.265625"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-relationship_advice-5/6-['relationship_advice']","0.03","1","1","0.5"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-legaladvice-2/6-['legaladvice']","0.03","1","1","0.671875"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-dating_advice-1/6-['dating_advice']","0.03","1","1","0.59375"
"Mistral-7B-Base-GPPO-KL0.03-SP1.0-UE1-tifu-6/6-['tifu']","0.03","1","1","0.4609375"